Map,Level,Algorithm,Node generated,Node explored,Step,Time (s),Memory (MB)
MINI COSMOS,1,A*,179,170,37,0.000837,0.027344
MINI COSMOS,2,A*,652,625,60,0.003297,0.132812
MINI COSMOS,3,A*,990,965,69,0.006335,0.062500
MINI COSMOS,4,A*,513,513,71,0.002033,0.015625
MINI COSMOS,5,A*,3561,3525,104,0.028516,0.539062
MINI COSMOS,6,A*,12275,12087,99,0.106837,1.167969
MINI COSMOS,7,A*,2092,2062,61,0.010754,0.167969
MINI COSMOS,8,A*,5541,5420,93,0.047858,0.000000
MINI COSMOS,9,A*,997,983,85,0.011012,0.000000
MINI COSMOS,10,A*,2521,2507,102,0.024453,0.000000
MINI COSMOS,11,A*,2862,2857,74,0.021484,0.000000
MINI COSMOS,12,A*,13015,12978,112,0.080825,0.027344
MINI COSMOS,13,A*,6308,6256,80,0.030596,0.003906
MINI COSMOS,14,A*,37322,37276,121,0.248456,4.089844
MINI COSMOS,15,A*,2630,2625,82,0.013054,0.160156
MINI COSMOS,16,A*,6144,6141,114,0.038240,0.121094
MINI COSMOS,17,A*,1789,1670,65,0.008767,0.035156
MINI COSMOS,18,A*,7750,7713,110,0.046544,0.003906
MINI COSMOS,19,A*,3522,3482,72,0.017270,0.160156
MINI COSMOS,20,A*,12372,12282,112,0.075474,0.164062
MINI COSMOS,21,A*,3263,3234,71,0.015327,0.160156
MINI COSMOS,22,A*,6725,6638,101,0.042303,0.164062
MINI COSMOS,23,A*,11088,11069,99,0.054646,0.003906
MINI COSMOS,24,A*,75790,75765,177,0.517905,5.687500
MINI COSMOS,25,A*,3762,3633,81,0.021471,0.156250
MINI COSMOS,26,A*,16756,16619,133,0.122414,0.167969
MINI COSMOS,27,A*,4463,4428,103,0.021693,0.160156
MINI COSMOS,28,A*,18805,18736,189,0.129149,0.160156
MINI COSMOS,29,A*,2553,2437,58,0.016763,0.160156
MINI COSMOS,30,A*,19475,19446,168,0.139164,0.164062
MINI COSMOS,31,A*,604,602,74,0.002968,0.035156
MINI COSMOS,32,A*,790,790,91,0.004881,0.000000
MINI COSMOS,33,A*,2886,2729,94,0.017689,0.125000
MINI COSMOS,34,A*,4375,4116,101,0.027855,0.000000
MINI COSMOS,35,A*,895,885,88,0.007480,0.000000
MINI COSMOS,36,A*,1808,1786,72,0.016443,0.000000
MINI COSMOS,37,A*,1997,1995,96,0.017401,0.000000
MINI COSMOS,38,A*,2551,2398,50,0.023479,0.000000
MINI COSMOS,39,A*,7876,7778,100,0.056147,0.164062
MINI COSMOS,40,A*,2069,2068,84,0.013215,0.160156
MICRO COSMOS,1,A*,34107,32449,49,0.289793,0.148438
MICRO COSMOS,2,A*,702032,696339,213,8.779195,65.992188
MICRO COSMOS,3,A*,15658,15591,123,0.131796,0.082031
MICRO COSMOS,4,A*,33978,33905,107,0.394589,0.066406
MICRO COSMOS,5,A*,1435440,1428040,116,28.372018,49.582031
MICRO COSMOS,6,A*,67125,65892,65,0.929653,77.730469
MICRO COSMOS,7,A*,5365,5335,110,0.040592,0.156250
MICRO COSMOS,8,A*,16811,16560,89,0.141214,2.179688
MICRO COSMOS,9,A*,106936,106922,211,1.022684,4.996094
MICRO COSMOS,10,A*,15381,15371,117,0.132234,4.007812
MICRO COSMOS,11,A*,93604,92660,125,1.239739,10.992188
MICRO COSMOS,12,A*,178859,176428,67,2.859866,6.484375
MICRO COSMOS,13,A*,10833,10745,128,0.118862,0.074219
MICRO COSMOS,14,A*,70546,70534,164,0.730157,4.406250
MICRO COSMOS,15,A*,201702,200897,139,2.062560,5.011719
MICRO COSMOS,16,A*,123238,122392,119,1.337697,0.015625
MICRO COSMOS,17,A*,365747,365658,188,4.244858,27.140625
MICRO COSMOS,18,A*,52419,52341,147,0.451676,0.121094
MICRO COSMOS,19,A*,780301,777195,124,13.567005,13.105469
MICRO COSMOS,20,A*,78123,77631,146,0.759522,9.191406
MICRO COSMOS,21,A*,70640,70145,185,0.865203,3.011719
MICRO COSMOS,22,A*,499643,498416,172,6.116207,24.625000
MICRO COSMOS,23,A*,9307,9162,91,0.123701,3.117188
MICRO COSMOS,24,A*,252098,251197,165,3.438822,29.457031
MICRO COSMOS,25,A*,64239,63321,130,0.534928,0.050781
MICRO COSMOS,26,A*,687819,679119,176,7.575533,1.812500
MICRO COSMOS,27,A*,40844,40808,234,0.309497,1.117188
MICRO COSMOS,28,A*,2329,2293,73,0.016180,0.839844
MICRO COSMOS,29,A*,7966,7855,83,0.064675,5.164062
MICRO COSMOS,30,A*,69346,68600,161,0.514951,0.703125
MICRO COSMOS,31,A*,5036,4979,103,0.055491,0.839844
MICRO COSMOS,32,A*,7720,7618,82,0.072723,1.164062
MICRO COSMOS,33,A*,27460,27316,173,0.227991,2.003906
MICRO COSMOS,34,A*,20764,20567,100,0.182532,0.003906
MICRO COSMOS,35,A*,22998,22873,70,0.274297,0.003906
MICRO COSMOS,36,A*,28457,28368,98,0.273184,0.003906
MICRO COSMOS,37,A*,63060,62944,184,0.575794,0.996094
MICRO COSMOS,38,A*,98531,98035,188,0.959861,1.000000
MICRO COSMOS,39,A*,17211,17179,151,0.170028,1.011719
MICRO COSMOS,40,A*,8140,8117,150,0.058834,0.003906
